GerarToken ,269,11607,1350,32751,35596,35730,576,35762,0.000%,7.30185,3.71,2.95
LogarUsuario,269,16904,21302,35104,35110,35405,589,35407,0.000%,7.36361,2.29,4.75
GetCarrinhoItens,807,904,290,727,810,19736,142,19750,0.124%,19.96536,7.71,11.97
BuscarDadosUsuario,538,2098,273,9210,19776,19806,144,19821,0.000%,13.88889,13.22,7.65
GetQtdTitulosUsuario,807,1071,270,797,7647,13823,139,19732,0.000%,20.45524,6.51,11.31
BuscarTitulosAgrupadosPorSerie,538,2625,364,8373,13923,25968,143,26064,0.000%,14.26412,8.10,8.97
GetTitulosNovos,538,1986,482,1360,25965,26817,151,27279,0.000%,14.51778,125.91,8.39
VerificarPremioTitulo,269,1106,430,1140,1388,26239,148,26456,0.372%,9.61814,14.66,5.78
ObterTitulosUsuarioPorSerie,269,319,245,643,806,1184,143,1381,0.000%,11.15627,38.40,7.14
ObterResultadosTituloUsuario,269,324,218,633,1186,1264,141,1291,0.000%,11.20647,13.27,6.81
Test,269,49610,44359,62216,62484,62726,38643,62766,0.743%,4.25296,125.32,41.98
TOTAL,4842,5512,377,22509,39494,61811,139,62766,0.083%,76.55094,250.64,83.95
