Rótulo,# Amostras,Média,Mediana,90% Line,95% Line,99% Line,Mín.,Máx.,% de Erro,Vazão,KB/s,Sent KB/sec
GerarToken ,270,123025,67091,75338,75480,1961086,44907,1961267,2.963%,.13766,0.15,0.05
Config,262,2175,819,5316,13037,16940,558,16955,0.000%,8.69969,5.68,4.68
GetCarrinhoItens,262,4432,2979,9912,13040,17062,291,20223,9.160%,7.01529,5.98,4.21
GetSeriesListResultados,262,5017,3306,11069,12983,15587,580,16589,9.160%,7.74117,432.40,4.30
GetSerieResultados,786,1159,721,2719,4145,6707,141,9451,9.160%,21.10634,404.16,12.55
GetModalPremiado?idSerie=92&nmTituloFixo=39364,262,1007,694,1810,3172,8543,145,8549,9.160%,8.33837,10.69,4.82
Test,262,83010,82862,92402,93006,94317,63698,95304,9.160%,2.73955,320.83,12.22
TOTAL,2366,25015,1355,75598,83740,92758,141,1961267,7.439%,1.20631,31.30,1.19
