front.azurewebsites.net,50,18177,18300,21272,21607,22218,10936,22218,0.000%,2.20012,5894.14,9.41
GerarToken ,50,1086,699,2167,2324,3708,580,3708,0.000%,4.12746,4.43,1.67
PesquisarProdutosDisponiveis,50,385,202,828,1072,1772,167,1772,0.000%,5.81463,29.94,3.26
GetCarrinhoItens,200,422,226,759,1433,2556,174,2967,0.000%,14.16029,13.33,8.49
Config,50,255,144,550,560,607,136,607,0.000%,5.21594,3.41,2.81
LogarUsuario,50,561,314,1075,1886,2510,270,2510,0.000%,5.12453,4.65,3.29
GetQtdTitulosUsuario,150,361,228,654,800,1614,173,2529,0.000%,11.01807,10.07,6.09
BuscarDadosUsuario,100,372,229,809,1247,1416,175,1779,0.000%,9.08348,14.08,5.00
BuscarTitulosAgrupadosPorSerie,50,390,236,658,719,2141,216,2141,0.000%,5.38213,6.33,3.38
GetTitulosNovos,50,423,247,654,672,2734,208,2734,0.000%,5.15677,36.49,2.98
Test,50,24799,24732,27520,28202,29459,19422,29459,0.000%,1.66878,4513.46,21.34
TOTAL,850,2917,248,16447,22312,27235,136,29459,0.000%,28.36832,9026.61,42.68
