GerarToken ,50,2978,2921,5063,5254,5448,590,5448,0.000%,8.16460,8.78,3.30
LogarUsuario,50,1075,948,1856,1895,3246,290,3246,0.000%,7.41620,6.74,4.79
GetCarrinhoItens,150,1726,229,780,1018,16491,178,160676,0.667%,.87128,0.84,0.52
BuscarDadosUsuario,100,474,231,631,948,3247,177,12018,0.000%,3.04702,4.72,1.68
GetQtdTitulosUsuario,150,561,229,787,1401,6341,173,15384,0.000%,4.56830,4.18,2.53
BuscarTitulosAgrupadosPorSerie,100,660,252,855,1753,6430,216,13978,0.000%,3.15259,3.71,1.98
GetTitulosNovos,100,742,253,943,3251,5762,186,13646,0.000%,3.14446,22.09,1.82
VerificarPremioTitulo,50,942,306,1145,1522,15720,181,15720,0.000%,2.13092,4.44,1.28
ObterTitulosUsuarioPorSerie,49,383,331,649,898,1160,188,1160,0.000%,1.58279,5.00,1.01
ObterResultadosTituloUsuario,49,2339,313,11342,14621,29518,176,29518,2.041%,1.34804,2.04,0.80
Test,49,15136,10498,31094,33660,41218,4971,41218,2.041%,1.17306,39.68,11.56
TOTAL,897,1846,263,4080,9108,28405,173,160676,0.334%,5.17686,19.32,5.62
