GerarToken ,100,8267,8603,13847,15325,15808,581,18477,0.000%,5.24742,5.63,2.12
front.azurewebsites.net,100,913,564,1976,3279,5877,136,8017,0.000%,5.33021,1.62,2.78
PesquisarProdutosDisponiveis,100,660,321,2140,2521,3372,171,3459,0.000%,5.22766,26.91,2.93
GetCarrinhoItens,200,964,775,1759,2261,3464,198,6902,0.000%,1.23677,1.15,0.74
Config,100,234,183,554,612,640,138,652,0.000%,5.12164,3.35,2.76
BuscarDezenas,200,44054,34694,76244,80209,83585,20418,86042,99.500%,1.56501,1.85,0.95
AdicionarItemCarrinhoPreVenda,100,35114,32996,41371,44588,49838,31020,55229,100.000%,.92551,0.97,0.64
Test,100,135229,130268,157683,160783,162549,87615,162751,100.000%,.61374,7.64,3.14
TOTAL,1000,27045,2664,86042,130268,157683,136,162751,39.900%,6.13727,15.28,6.29
