GerarToken ,170,13310,13093,18710,19185,19702,661,20188,0.000%,8.00113,8.58,3.23
resultados,170,32470,33349,38367,39461,41185,6118,42487,0.588%,3.12730,8377.75,10.94
Config,170,2100,1646,4642,5133,6583,552,8096,0.000%,3.37878,2.20,1.82
GetCarrinhoItens,170,3646,2560,8745,9394,10401,191,11817,0.000%,3.12978,2.87,1.88
GetSeriesListResultados,170,29871,41909,46442,47454,48235,348,48757,0.000%,1.74355,107.17,0.97
GetSerieResultados,510,9864,10975,17892,22937,27161,215,30801,0.000%,3.90057,82.14,2.32
GetModalPremiado?idSerie=92&nmTituloFixo=39364,170,1726,661,4866,10443,10819,215,11045,0.000%,1.31195,1.83,0.76
Test,170,112720,127035,138765,139637,140430,11528,140678,0.588%,1.20574,3385.22,9.60
TOTAL,1700,22544,10711,46767,127035,138765,191,140678,0.118%,12.05717,6770.30,19.19
