GerarToken ,50,1361,822,2914,3506,3685,612,3685,0.000%,12.98701,13.95,5.25
front.azurewebsites.net,50,341,205,720,724,988,149,988,0.000%,12.72912,3.87,6.64
PesquisarProdutosDisponiveis,50,740,324,2060,2603,2930,191,2930,0.000%,7.51880,38.71,4.21
GetCarrinhoItens,50,679,459,1102,1210,2878,200,2878,0.000%,6.75402,6.21,4.05
Config,50,360,219,739,771,861,160,861,0.000%,6.61113,4.32,3.56
BuscarDezenas,90,32796,32116,35501,39433,39663,30384,39676,100.000%,1.31775,1.34,0.80
TOTAL,340,9193,752,32853,34238,39611,149,39676,26.471%,4.85721,7.09,2.65
