Rótulo,# Amostras,Média,Mediana,90% Line,95% Line,99% Line,Mín.,Máx.,% de Erro,Vazão,KB/s,Sent KB/sec
/GerarToken ,100,40154,41192,45732,45957,46175,608,46516,0.000%,2.14399,2.30,0.71
/resultados,100,19625,19699,25192,25981,27268,3487,28341,0.000%,1.46295,3919.24,4.84
/api/Config/Config,100,3974,1216,14361,15121,16480,557,29928,0.000%,1.29197,0.84,0.65
/api/Carrinho/GetCarrinhoItens,100,8950,3632,26622,27511,29579,224,30046,0.000%,1.67929,1.54,1.01
/api/Produto/GetSeriesListResultados,100,3210,1393,2610,15160,29685,316,29886,0.000%,1.72182,105.84,0.90
/api/Produto/GetSerieResultados,300,1932,476,2375,9395,29031,190,29490,0.000%,5.10890,107.57,3.04
/api/Produto/GetModalPremiado?idSerie=92&nmTituloFixo=39364,100,1797,375,1376,8173,29234,191,29566,0.000%,1.75599,2.44,0.96
Test,100,83513,95928,97729,97976,98294,42143,98950,0.000%,1.00528,2822.48,7.65
TOTAL,1000,16702,1468,46055,95928,97729,190,98950,0.000%,10.05247,5644.79,15.29
