example_id                                | status | run_time              |
./spec/test/spec_titulos.rb[1:2:1]        | passed | 2.3 seconds           |
./spec/test/spec_titulos.rb[2:1:1]        | passed | 4.3 seconds           |
./spec/test/spec_titulos.rb[2:2:1]        | passed | 2 seconds             |
./spec/test/spec_titulos.rb[3:1:1]        | passed | 4.08 seconds          |
./spec/test/spec_titulos.rb[3:2:1]        | passed | 2.31 seconds          |
./spec/test/spec_titulos.rb[4:1:1]        | passed | 0.92833 seconds       |
./spec/test/spec_titulos.rb[5:1]          | failed | 7.17 seconds          |
./spec/test/spec_titulos.rb[6:1]          | passed | 5.55 seconds          |
./spec/test/spec_transfer.rb[1:1:1]       | passed | 3.88 seconds          |
./spec/test/spec_transfer.rb[1:2:1]       | passed | 10.49 seconds         |
./spec/test/spec_transfer.rb[1:3:1]       | passed | 4.98 seconds          |
./spec/test/spec_transfer.rb[1:4:1]       | passed | 1.25 seconds          |
./spec/test/spec_transfer.rb[1:5:1]       | passed | 4.24 seconds          |
./spec/test/spec_transfer.rb[1:6:1]       | passed | 2.84 seconds          |
./spec/test/spec_transfer.rb[1:7:1]       | passed | 2.03 seconds          |
./spec/test/spec_transfer.rb[1:8:1]       | passed | 2.45 seconds          |
./spec/test/spec_transfer.rb[1:9:1]       | passed | 3.54 seconds          |
./spec/test/spec_transfer.rb[1:10:1]      | passed | 3.25 seconds          |
./spec/test/spec_transfer.rb[1:11:1]      | passed | 2.71 seconds          |
./spec/test/spec_transfer.rb[1:12:1]      | passed | 4.73 seconds          |
./spec/test/spec_transfer.rb[1:13:1]      | passed | 4.84 seconds          |
./spec/test/spec_transfer.rb[1:14:1]      | passed | 4.09 seconds          |
./spec/test/spec_transfer.rb[1:15:1]      | passed | 5.3 seconds           |
./spec/test/spec_transfer.rb[1:16:1]      | passed | 3.24 seconds          |
./spec/test/spec_transfer.rb[1:17:1]      | passed | 3.08 seconds          |
./spec/test/spec_transfer.rb[1:18:1]      | passed | 9.06 seconds          |
