Rótulo,# Amostras,Média,Mediana,90% Line,95% Line,99% Line,Mín.,Máx.,% de Erro,Vazão,KB/s,Sent KB/sec
/GerarToken ,100,30117,26884,60022,60938,61903,880,62235,0.000%,1.60442,1.72,0.53
/resultados,100,11635,11807,14727,15659,17808,4508,17964,0.000%,1.27601,3418.44,4.22
/api/Config/Config,100,2326,721,7444,8505,11863,557,12146,0.000%,1.41673,0.92,0.72
/api/Carrinho/GetCarrinhoItens,100,4061,348,13435,18602,20634,224,20635,0.000%,1.41745,1.30,0.85
/api/Produto/GetSeriesListResultados,100,1315,914,2544,3163,9744,332,9749,0.000%,1.40304,86.24,0.74
/api/Produto/GetSerieResultados,300,1766,810,3271,4189,20125,186,20492,0.000%,4.19410,88.32,2.49
/api/Produto/GetModalPremiado?idSerie=92&nmTituloFixo=39364,100,1168,706,2372,3685,12981,203,13011,0.000%,1.78314,2.48,0.98
Test,100,55926,44055,80175,81701,83748,34691,84053,0.000%,1.18601,3329.95,9.02
TOTAL,1000,11185,1298,43148,60063,80175,186,84053,0.000%,11.86000,6659.82,18.04
